embark_ID,Accession_num,Artist,Printer,Title,Year_Made,Year_Acqd,Media,Media_AAT,Dimensions,Label,Credit_Line,Notes
199,023.2007,James McNeill Whistler,,Drury Lane,1880-1881,2007,Etching in dark brown ink on tan laid paper; only state,"etchings (prints) AAT:(300041365), ink AAT:(300015012), laid paper AAT:(300014184)",(163 x 103 mm; 168 x 103 mm),,The Lunder Collection,
6856,023.2009,Clemens Kalischer,,"Piedmont, Fiesta Alpini (Soldiers, Musicians and Dance)",1963,2009,Gelatin silver print,gelatin silver prints AAT:(300128695),14 in. x 11 in. (35.56 cm x 27.94 cm),,The Lunder Collection,
7191,023.2010,James McNeill Whistler,,Fleur-de-lys Passage,1887,2010,Etching and drypoint in brown ink on cream laid paper; fourth (final) state,"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(181 x 78 mm; 184 x 78 mm),,The Lunder Collection,
201,024.1998,John Marin,,"Movement - Grain Elevators, No. 1",1916,1998,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,Promised Gift of Norma B. Marin,
206,024.2006,Alex Katz,,Lake Jefferson,ca. 1958,2006,Paper collage,collages (visual works) AAT:(300033963),5 1/4 in. x 8 1/4 in. (13.34 cm x 20.96 cm),,Collection of Marvin Brown ,
207,024.2007,James McNeill Whistler,,Islands: Evening,1879-1880,2007,Drypoint in dark brown ink on off-white laid paper; fourth (final) state,"drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(plate: 126 x 201 mm),,The Lunder Collection,
6064,024.2008,Jacob Lawrence,,Builders #1,1968,2008,Gouache and tempera on paper,"gouache (paint) AAT:(300070114), tempera AAT:(300015062), paper (fiber product) AAT:(300014109)",29 in. x 21 1/2 in. (73.66 cm x 54.61 cm),,The Lunder Collection,
6855,024.2009,Clemens Kalischer,,"Bangalore, Bicycle line by cinema",1964,2009,Gelatin silver print,gelatin silver prints AAT:(300128695),10 1/2 in. x 13 3/4 in. (26.67 cm x 34.93 cm),,The Lunder Collection,
7190,024.2010,James McNeill Whistler,,Street at Saverne,1858,2010,Etching and open bite or sandpaper ground in black ink on light blue wove paper laid down on off-white wove paper (chine collé); state?,"etchings (prints) AAT:(300041365), ink AAT:(300015012), wove paper AAT:(300014187)",(208 x 158 mm; 435 x 304 mm),,The Lunder Collection,
7467,024.2011,James McNeill Whistler,,La Vieille aux Loques,1858,2011,Etching and drypoint in brown ink on light green laid on paper; third state (of four),"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(206 x 147 mm; 260 x 185 mm),,The Lunder Collection,
