embark_ID,Accession_num,Artist,Printer,Title,Year_Made,Year_Acqd,Media,Media_AAT,Dimensions,Label,Credit_Line,Notes
8193,149.2013,James McNeill Whistler,,Nocturne: Palaces,1878-1879,2013,Etching and drypoint in black ink on ivory laid paper,"etchings (prints) AAT:(300041365), drypoints (prints) AAT:(300041349), ink AAT:(300015012), laid paper AAT:(300014184)",(image: 297 x 199 mm; 310 x 202 mm),,The Lunder Collection,
8194,150.2013,James McNeill Whistler,,Nocturne: The River at Battersea,1878,2013,"Lithotint in black ink on ivory wove paper (first state, of two)","lithotints AAT:(300041387), ink AAT:(300015012), wove paper AAT:(300014187)",7 1/2  x 11 in. (19.05  x 27.94 cm),,The Lunder Collection,
6388,151.2008,William Michael Harnett,,After the Hunt,1885,2008,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",18 1/4 in. x 10 3/4 in. (46.36 cm x 27.31 cm),,The Lunder Collection,
8195,151.2013,James McNeill Whistler,,Nocturne: River at Battersea,1878,2013,"Lithotint in black ink on pale blue laid paper mounted on white wove paper (second state, of two)","lithotints AAT:(300041387), ink AAT:(300015012), laid paper AAT:(300014184), wove paper AAT:(300014187)",13 7/16  x 18 1/4 in. (34.13  x 46.36 cm),,The Lunder Collection,
6395,158.2008,Winslow Homer,,Evening on the Beach,1871,2008,"Gouache, charcoal and pencil on paper","gouache (paint) AAT:(300070114), charcoal (material) AAT:(300012862), pencils (drawing and writing equipment) AAT:(300022439), paper (fiber product) AAT:(300014109)",9 in. x 15 in. (22.86 cm x 38.1 cm),,The Lunder Collection,
8229,159.2013,Thomas Wilmer Dewing,,"Portrait of Marian Burnett, Nearly Profile (Head of a Woman)",1909,2013,Silverpoint on prepared paper,"silver (metal) AAT:(300011029), prepared paper AAT:(300126359)",14  x 12 in. (35.56  x 30.48 cm),,The Lunder Collection,
568,160.2004,Samuel Rosenberg,,Sideshow,1935,2004,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",46 in. x 50 in. (116.84 cm x 127 cm),,The Lunder Collection,
8230,160.2013,Grant Wood,,Farmer Eating Lunch,1935,2013,"Colored pencil, wax crayon, and pencil on paper","colored pencils AAT:(300022441), crayons (drawing material) AAT:(300022415), pencils (drawing and writing equipment) AAT:(300022439), paper (fiber product) AAT:(300014109)",26 1/4  x 18 1/4 in. (66.68  x 46.36 cm),,The Lunder Collection,
2030,1968.015,John Marin,,Deer Isle,1921,1968,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",14 in. x 17 in. (35.56 cm x 43.18 cm),,"Gift of John, Norma, and Lisa Marin in Memory of Marguerite and William Zorach",
2073,197.2004,Alex Katz,,Lily No. 2,1967,2004,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",18 1/4 in. x 14 in. (46.36 cm x 35.56 cm),,"Lent by Paul J. Schupf, LL.D. '06",
2289,1972.062,Alex Katz,Bank Street Atelier,Late July,1971,1972,Lithograph on Arches Paper,"lithographs AAT:(300041379), Arches paper AAT:(300183989)",22 1/4 in. x 28 1/2 in. (56.52 cm x 72.39 cm),,Gift of the Artist,Published by the Skowhegan School of Painting and Sculpture
2311,1973.014,John Marin,,Weehawken Sequence #65,ca. 1915-1916,1973,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",12 1/4 in. x 9 1/2 in. (31.12 cm x 24.13 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2312,1973.015,John Marin,,From Seeing Cape Split,1935,1973,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",23 in. x 29 1/2 in. (58.42 cm x 74.93 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2313,1973.016,John Marin,,Sea and Figures Concept #1,1942,1973,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",22 in. x 28 in. (55.88 cm x 71.12 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2314,1973.017,John Marin,,"Huntington, Long Island #2",1952,1973,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",22 in. x 28 in. (55.88 cm x 71.12 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2335,1973.038,John Marin,,"White Lake, Sullivan County",1888,1973,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",10 1/4 in. x 14 3/4 in. (26.04 cm x 37.47 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2336,1973.039,John Marin,,"Carnival, Paris",1905,1973,Pastel and graphite on paper,"pastels (crayons) AAT:(300122621), graphite (mineral) AAT:(300011098), paper (fiber product) AAT:(300014109)",13 1/4 in. x 10 3/8 in. (33.66 cm x 26.35 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2337,1973.040,John Marin,,Houses At Meaux,1907,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",13 in. x 9 1/4 in. (33.02 cm x 23.5 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2338,1973.041,John Marin,,The Tyrol,1910,1973,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",17 3/4 in. x 15 1/8 in. (45.09 cm x 38.42 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2339,1973.042,John Marin,,Brooklyn Bridge,1912,1973,Watercolor and graphite on paper,"watercolors (paintings) AAT:(300078925), graphite (mineral) AAT:(300011098), paper (fiber product) AAT:(300014109)",15 1/2 in. x 18 1/2 in. (39.37 cm x 46.99 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2340,1973.043,John Marin,,"Fulton Chain, Adirondacks",1912,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",16 1/8 in. x 13 3/4 in. (40.96 cm x 34.93 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2341,1973.044,John Marin,,"White Waves On Sand, Maine",1917,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",15 7/8 in. x 18 3/4 in. (40.32 cm x 47.63 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2342,1973.045,John Marin,,"Downtown, New York",ca. 1925,1973,Graphite and charcoal on paper,"graphite (mineral) AAT:(300011098), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",7 in. x 9 5/8 in. (17.78 cm x 24.45 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2343,1973.046,John Marin,,"Region, Rowe, Massachusetts",1918,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",21 3/4 in. x 26 1/2 in. (55.25 cm x 67.31 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2344,1973.047,John Marin,,"Stonington, Maine",1923,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",21 3/4 in. x 26 1/4 in. (55.25 cm x 66.68 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2345,1973.048,John Marin,,New York City View,ca.1925,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",8 1/2 in. x 7 in. (21.59 cm x 17.78 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2346,1973.049,John Marin,,New York City View,ca.1925,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",8 1/2 in. x 7 1/8 in. (21.59 cm x 18.1 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2347,1973.050,John Marin,,New Mexico Landscape,1929,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",14 in. x 20 in. (35.56 cm x 50.8 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2348,1973.051,John Marin,,"Blue Sea, Red Sky, Ledges, Cape Split, Maine",1937,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",15 1/4 in. x 20 3/4 in. (38.74 cm x 52.71 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2349,1973.052,John Marin,,Circus,ca. 1939,1973,Graphite and crayon on paper,"graphite (mineral) AAT:(300011098), crayons (drawing material) AAT:(300022415), paper (fiber product) AAT:(300014109)",5 7/8 in. x 7 11/16 in. (14.92 cm x 19.53 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2350,1973.053,John Marin,,"Brooklyn Bridge, On the Bridge",1944,1973,Graphite and charcoal on paper,"graphite (mineral) AAT:(300011098), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",6 1/4 in. x 7 7/8 in. (15.88 cm x 20 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2351,1973.054,John Marin,,Tunk Mountain #1,1949,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",15 1/2 in. x 20 1/2 in. (39.37 cm x 52.07 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2352,1973.055,John Marin,,From New York Hospital,1951,1973,Watercolor and charcoal on paper,"watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), paper (fiber product) AAT:(300014109)",8 3/4 in. x 12 in. (22.23 cm x 30.48 cm),,"Gift of John Marin, Jr. and Norma B. Marin",
2382,1973.085,John Marin,,"Frauen Kirche, Nuremberg",1910,1973,Etching,etchings (prints) AAT:(300041365),,,"Gift of John Marin, Jr. and Norma B. Marin",
2383,1973.086,John Marin,,Sailboat,1932,1973,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",,,"Gift of John Marin, Jr. and Norma B. Marin",
2757,1975.106,John Marin,,Landscape with Trees and Rain,1914,1975,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",14 in. x 16 in. (35.56 cm x 40.64 cm),,Bequest of Rowland Burdon-Muller,
2870,1975.220,Alex Katz,Larry Rosen,Sunset: Lake Wesserunsett 3,1972,1975,"Screenprint, 5 colors on Beige American Etching Paper","screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",29 1/2 in. x 35 3/4 in. (74.93 cm x 90.81 cm),,Gift of Patricia Davidson Reef,Chiron Press
2978,1978.001,John Marin,,Marin Island Looking Up the Branch,1931,1978,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",14 in. x 18 in. (35.56 cm x 45.72 cm),,Gift of Mr. and Mrs. Curtis Hutchins,
3033,1979.015,John Marin,,The Lobster Fisherman,1948,1979,Etching on paper,"etchings (prints) AAT:(300041365), paper (fiber product) AAT:(300014109)",8 3/4 in. x 6 7/8 in. (22.23 cm x 17.46 cm),,Gift of Mr. and Mrs. A.A. D'Amico,
3172,1981.102,Alex Katz,,Hamman House,1963,1981,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",34 1/2 in. x 49 in. (87.63 cm x 124.46 cm),,Gift of Aaron Kozak,
3173,1981.103,Alex Katz,,Study for Ada with Superb Lily #2,1969,1981,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",13 9/16 in. x 15 7/8 in. (34.45 cm x 40.32 cm),,Gift of Aaron Kozak,
3245,1982.023,Alex Katz,,Woman in Pink Standing in Landscape,1961,1982,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",48 1/4 in. x 31 5/8 in. (122.56 cm x 80.33 cm),,Gift of Aaron Kozak,
3246,1982.024,Alex Katz,,Still Life,1955-1956,1982,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",24 in. x 36 1/8 in. (60.96 cm x 91.76 cm),,Gift of Aaron Kozak,
3247,1982.025,Alex Katz,,Ada in Blue Scarf,1965,1982,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",16 1/2 in. x 19 7/8 in. (41.91 cm x 50.48 cm),,Gift of Aaron Kozak,
3248,1982.026,Alex Katz,,Sylvia Stone,1962-1963,1982,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",33 3/4 in. x 47 1/2 in. (85.73 cm x 120.65 cm),,Gift of Aaron Kozak,
3458,1983.005,Bernard Langlais,,Barnyard,1971-72,1983,"Raw, weathered and painted wood","wood (plant material) AAT:(300011914), paint (coating) AAT:(300015029)",127  x 96  x 5 7/8 in. (322.58  x 243.84  x 14.92 cm),,Gift of Mrs. Bernard Langlais,
3578,1984.023,John Marin,,Movement: Seagull in Flight,1939,1984,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",12 1/4 in. x 16 1/4 in. (31.12 cm x 41.28 cm),,"Gift of C. David O'Brien, Colby '58""",
3618,1985.009,Bernard Langlais,,Auk,1976-77,1985,Painted wood ,"wood (plant material) AAT:(300011914), paint (coating) AAT:(300015029)",49 1/2 in. x 13 1/2 in. x 28 in. (125.73 cm x 34.29 cm x 71.12 cm),,Gift of Mrs. Bernard Langlais,
3621,1985.012,Alex Katz,,Yvonne Jacquette and Rudy Burckhardt,1977,1985,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",72 1/8 in. x 96 in. (183.2 cm x 243.84 cm),,Gift of the Artist,
3647,1986.014,Bernard Langlais,,A Lot of Bull,ca. 1964,1986,"Raw wood, wood sign","wood (plant material) AAT:(300011914), wood (plant material) AAT:(300011914), signs (declatory or advertising artifacts) AAT:(300123013)",71 3/4 in. x 37 3/8 in. x 6 in. (182.25 cm x 94.93 cm x 15.24 cm),,Gift of Mrs. Bernard Langlais,
3656,1986.023,John Marin,,"Sunset: Cape Split, Maine",1945,1986,Watercolor on paper,"watercolors (paintings) AAT:(300078925), paper (fiber product) AAT:(300014109)",11 in. x 14 in. (27.94 cm x 35.56 cm),,Bequest of Adelaide Moise,
3674,1986.041,John Marin,,Downtown New York: the El,1921,1986,Etching,etchings (prints) AAT:(300041365),6 3/4 in. x 8 5/8 in. (17.15 cm x 21.91 cm),,Bequest of Adelaide Moise,
3736,1986.080,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Eric, Anni",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3737,1986.081,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Jennifer, Eric",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3738,1986.082,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Julian, Jessica",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3739,1986.083,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Kriti, Vincent",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3740,1986.084,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Ada, Alex",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3741,1986.085,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Rackstraw, Peggy",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3742,1986.086,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Danny, Laura",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3743,1986.087,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Carter, Phyllis",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3744,1986.088,Alex Katz,Chip Elwell ,"A Tremor in the Morning: Anda, Dino",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3745,1986.089,Alex Katz,Chip Elwell,"A Tremor in the Morning: Peter, Linda",1986,1986,Woodcut on Rives Paper ,"woodcuts (prints) AAT:(300041405), paper (fiber product) AAT:(300014109)",20 1/2 in. x 20 in. (52.07 cm x 50.8 cm),,Gift of the Zorach Children,Published By Peter Blum Edition
3789,1988.014,Bernard Langlais,,Five Will Get You Ten (Woman in the Window),"1962, reworked 1963",1988,"Stained and painted wood, wood frames, wood toothpicks, wood beads","stain (coating) AAT:(300014968), toothpicks AAT:(300236468), beads (pierced objects) AAT:(300234006), wood (plant material) AAT:(300011914)",49 3/4  x 36  x 1 1/2 in. (126.37  x 91.44  x 3.81 cm),,"Colby College Museum of Art, Gift of Mrs. Bernard Langlais",
3790,1988.015,Alex Katz,Masta Displays,Blueberry Field,1968,1988,"Screenprint, 7 colors on White Wove Paper","screen prints AAT:(300178688), wove paper AAT:(300014187)",14 in. x 17 in. (35.56 cm x 43.18 cm),,Gift of the Artist,"Published by Fischbach Gallery, New York"
3791,1988.016,Alex Katz,Mourlot Press,Alex At Cheat Lake Poster,1969,1988,Lithograph; photo offset on White Wove Paper,"lithographs AAT:(300041379), wove paper AAT:(300014187)",38 1/4 in. x 24 in. (97.16 cm x 60.96 cm),,Gift of the Artist,
3792,1988.018,Alex Katz,Bank Street Atelier,Late July 2,1971,1988,Lithograph on Arches Paper,"lithographs AAT:(300041379), Arches paper AAT:(300183989)",21 3/4 in. x 28 in. (55.25 cm x 71.12 cm),,Gift of the Artist,Published by the Skowhegan School of Painting and Sculpture
3793,1988.019,Alex Katz,Bank Street Atelier,Bella,1972,1988,Lithograph in six colors on Arches Paper,"lithographs AAT:(300041379), Arches paper AAT:(300183989)",34 in. x 24 in. (86.36 cm x 60.96 cm),,Gift of the Artist,
3794,1988.020,Alex Katz,Simca Print Artists,Twilight 1,1978,1988,Screenprint in 7 colors on Stonehenge Paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",40 in. x 30 in. (101.6 cm x 76.2 cm),,Gift of the Artist,
3795,1988.021,Alex Katz,Simca Print Artists,Twilight 2,1978,1988,Screenprint in 7 colors on Stonehenge Paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",40 in. x 30 in. (101.6 cm x 76.2 cm),,Gift of the Artist,
3796,1988.022,Alex Katz,Simca Print Artists,Twilight 3,1978,1988,Screenprint in 3 colors on Stonehenge Paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",40 in. x 30 in. (101.6 cm x 76.2 cm),,Gift of the Artist,
3797,1988.023,Alex Katz,Simca Print Artists,Plaid Shirt,1981,1988,Screenprint in 16 colors on American Etching Paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",,,Gift of the Artist,
3809,1989.011,Bernard Langlais,,The Monitor or the Merrimack (Gull On Pile),1961,1989,"Raw and painted wood, screws","wood (plant material) AAT:(300011914), screws AAT:(300033568), paint (coating) AAT:(300015029)",36  x 48  x 5 3/8 in. (91.44  x 121.92  x 13.65 cm),,Gift of Mrs. Bernard Langlais,
3860,199.2004,Alex Katz,,Plaid Shirt 2,1981,2004,Screenprint on paper,"screen prints AAT:(300178688), paper (fiber product) AAT:(300014109)",47 in. x 30 3/4 in. (119.38 cm x 78.11 cm),,"Lent by Paul J. Schupf, LL.D. '06",
3874,1990.014,Alex Katz,,Portrait of Ada,1971,1990,Pencil on paper,"graphite (mineral) AAT:(300011098), paper (fiber product) AAT:(300014109)",11 1/2 in. x 8 3/4 in. (29.21 cm x 22.23 cm),,Gift of Daphne Cummings,
3886,1990.026,Bernard Langlais,,Eagle,ca.1964,1990,Wood and painted wood,"wood (plant material) AAT:(300011914), paint (coating) AAT:(300015029)",96  x 48  x 3 in. (243.84  x 121.92  x 7.62 cm),,Gift of Mrs. Bernard Langlais,
3979,1992.006,John Marin,,"Stonington, Maine",1924,1992,"Watercolor, charcoal, and crayon on paper","watercolors (paintings) AAT:(300078925), charcoal (material) AAT:(300012862), crayons (drawing material) AAT:(300022415), paper (fiber product) AAT:(300014109)",13 3/4 in. x 17 in. (34.93 cm x 43.18 cm),,Gift of Norma B. Marin in Honor of Hugh J. Gourley III,
4085,1995.029,Alex Katz,,Basketball,1991,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",82 in. x 128 in. (208.28 cm x 325.12 cm),,Gift of the Artist,
4086,1995.030,Alex Katz,,Meeting,1987,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",108 in. x 102 in. (274.32 cm x 259.08 cm),,Gift of the Artist,
4087,1995.031,Alex Katz,,His Behind the Back Pass,1978,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",72 in. x 96 in. (182.88 cm x 243.84 cm),,Gift of the Artist,
4088,1995.032,Alex Katz,,Ada's Black Sandals,1987,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",48 in. x 60 1/8 in. (121.92 cm x 152.72 cm),,Gift of the Artist,
4089,1995.034,Alex Katz,,Seagull 2,1989,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",66 in. x 90 in. (167.64 cm x 228.6 cm),,Gift of the Artist,
4090,1995.035,Alex Katz,,Rockaway,1961,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",83 3/4 in. x 71 7/8 in. (212.73 cm x 182.56 cm),,Gift of the Artist,
4091,1995.036,Alex Katz,,Rudy,1980,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",96 in. x 72 in. (243.84 cm x 182.88 cm),,Gift of the Artist,
4092,1995.038,Alex Katz,,Stanley,1973,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",48 in. x 32 1/8 in. (121.92 cm x 81.6 cm),,Gift of the Artist,
4093,1995.039,Alex Katz,,Tracy on the Raft at 7:30,1982,1995,Oil on on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",120 1/8 in. x 72 in. (305.12 cm x 182.88 cm),,Gift of the Artist,
4094,1995.040,Alex Katz,,Twilight,1977,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",129 1/4 in. x 96 in. (328.3 cm x 243.84 cm),,Gift of the Artist,
4095,1995.041,Alex Katz,,East,1987,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",125 3/4 in. x 288 3/8 in. (319.41 cm x 732.47 cm),,Gift of the Artist,
4096,1995.042,Alex Katz,,Fog 2,1988,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",126 1/4 in. x 94 1/2 in. (320.68 cm x 240.03 cm),,Gift of the Artist,
4097,1995.043,Alex Katz,,Black Brook 10,1995,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",126 in. x 96 in. (320.04 cm x 243.84 cm),,Gift of the Artist,
4098,1995.044,Alex Katz,,Two Trees On a Hillside,c .1957,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",12 in. x 16 in. (30.48 cm x 40.64 cm),,Gift of the Artist,
4099,1995.045,Alex Katz,,Cows in a Yellow Field,1954,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",12 in. x 14 in. (30.48 cm x 35.56 cm),,Gift of the Artist,
4100,1995.046,Alex Katz,,Interior with Rocking Chair,1962,1995,Oil on canvas,"oil paint (paint) AAT:(300015050), canvas AAT:(300014078)",13 in. x 13 in. (33.02 cm x 33.02 cm),,Gift of the Artist,
4101,1995.047,Alex Katz,,Vincent,1965,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",9 3/4 in. x 11 3/4 in. (24.77 cm x 29.85 cm),,Gift of the Artist,
4102,1995.048,Alex Katz,,Good Morning Study #1,1974,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",12 in. x 16 in. (30.48 cm x 40.64 cm),,Gift of the Artist,
4103,1995.049,Alex Katz,,Ada in Red in Park,1964,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",17 in. x 20 in. (43.18 cm x 50.8 cm),,Gift of the Artist,
4104,1995.050,Alex Katz,,Woman in Red with Man in Gray,1987,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",18 in. x 24 in. (45.72 cm x 60.96 cm),,Gift of the Artist,
4105,1995.051,Alex Katz,,Man Without Shirt- Woods in Background,1991,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",24 in. x 18 in. (60.96 cm x 45.72 cm),,Gift of the Artist,
4106,1995.052,Alex Katz,,"Study for ""Basketball""",1991,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",18 in. x 24 in. (45.72 cm x 60.96 cm),,Gift of the Artist,
4107,1995.053,Alex Katz,,"Camden, Maine",1953-1954,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",21 3/8 in. x 27 1/4 in. (54.29 cm x 69.22 cm),,Gift of the Artist,
4108,1995.054,Alex Katz,,Two Figures in a Field,1951-1952,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",17 1/4 in. x 21 1/8 in. (43.82 cm x 53.66 cm),,Gift of the Artist,
4109,1995.055,Alex Katz,,Still Life,1955- 1956,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",16 in. x 20 in. (40.64 cm x 50.8 cm),,Gift of the Artist,
4110,1995.056,Alex Katz,,Oval Ada,1958,1995,Oil on board,"oil paint (paint) AAT:(300015050), wood board AAT:(300162666)",24 3/4 in. x 18 3/4 in. (62.87 cm x 47.63 cm),,Gift of the Artist,
4111,1995.057,Alex Katz,,"Study for ""Fidel and Yvonne""",1991,1995,Oil on masonite,"oil paint (paint) AAT:(300015050), Masonite (TM) AAT:(300014205)",7 5/8 in. x 24 1/8 in. (19.37 cm x 61.28 cm),,Gift of the Artist,
